TIPNR_ID	WIKIDATA_ID
Beeri_Gen.26.34	
Beeri_Hos.1.1	
Bela_Gen.46.21	
Bela_Gen.36.32	Q22018139
Bela_1Ch.5.8	Q22018139
Belshazzar_Dan.5.1	Q225198
Ben_1Ch.15.18	
Ben-abinadab_1Ki.4.11	
Benaiah_2Sa.8.18	Q816667
Benaiah_2Sa.23.30	Q816667
Benaiah_1Ch.4.36	Q816667
Benaiah_1Ch.15.18	Q816667
Benaiah_1Ch.27.34	Q816667
Benaiah_2Ch.20.14	Q816667
Benaiah_2Ch.31.13	Q816667
Benaiah_Ezr.10.25	Q816667
Benaiah_Ezr.10.30	Q816667
Benaiah_Ezr.10.35	Q816667
Benaiah_Ezr.10.43	Q816667
Benaiah_Ezk.11.1	Q816667
Ben-ammi_Gen.19.38	Q9168580
Ben-deker_1Ki.4.9	
Ben-geber_1Ki.4.13	
Ben-hadad_1Ki.15.18	
Ben-hadad_2Ki.6.24	
Ben-hadad_2Ki.13.3	
Ben-hail_2Ch.17.7	
Ben-hanan_1Ch.4.20	
Ben-hesed_1Ki.4.10	
Ben-hur_1Ki.4.8	
Beninu_Neh.10.13	
Benjamin_Gen.35.18	Q460763
Benjamin_1Ch.7.10	Q460763
Benjamin_Ezr.10.32	Q460763
Benjamin_Neh.3.23	Q460763
Benjamin_Neh.12.34	Q460763
Beno_1Ch.24.26	
Ben-zoheth_1Ch.4.20	
Beor_Gen.36.32	
Beor_Num.22.5	
Bera_Gen.14.2	Q4890957
Beracah_1Ch.12.3	
Beraiah_1Ch.8.21	
Berechiah_1Ch.3.20	
Berechiah_1Ch.6.39	
Berechiah_1Ch.9.16	
Berechiah_2Ch.28.12	
Berechiah_Neh.3.4	
Berechiah_Zec.1.1	
Bered_1Ch.7.20	
Beri_1Ch.7.36	
Beriah_Gen.46.17	Q106777531
Beriah_1Ch.7.23	Q106777531
Beriah_1Ch.8.13	Q106777531
Beriah_1Ch.23.10	Q106777531
Bernice_Act.25.13	
Besai_Ezr.2.49	
Besodeiah_Neh.3.6	
Beth-rapha_1Ch.4.12	
Bethuel_Gen.22.22	Q1579827
Bavvai_Neh.3.18	
Bezai_Ezr.2.17	
Bezai_Neh.10.18	
Bezalel_Exo.31.2	
Bezalel_Ezr.10.30	
Bezer_1Ch.7.37	
Bichri_2Sa.20.1	
Bidkar_2Ki.9.25	
Bigtha_Est.1.10	
Bigthan_Est.2.21	
Bigvai_Ezr.2.2	
Bigvai_Ezr.2.14	
Bigvai_Neh.10.16	
Bildad_Job.2.11	Q2776374
Bilgah_1Ch.24.14	
Bilgah_Neh.10.8	
Bilhah_Gen.29.29	Q794991
Bilhan_Gen.36.27	
Bilhan_1Ch.7.10	
Bilshan_Ezr.2.2	Q1136380
Bimhal_1Ch.7.33	
Binea_1Ch.8.37	
Binnui_Ezr.8.33	
Binnui_Ezr.10.30	
Binnui_Ezr.10.38	
Binnui_Neh.3.24	
Birsha_Gen.14.2	Q106079868
Birzaith_1Ch.7.31	
Bishlam_Ezr.4.7	
Bithiah_1Ch.4.18	Q1873244
Biztha_Est.1.10	
Blastus_Act.12.20	Q33100712
Boaz_Rut.2.1	
Bocheru_1Ch.8.38	
Bohan_Jos.15.6	
Bukki_Num.34.22	
Bukki_1Ch.6.5	
Bukkiah_1Ch.25.4	
Bunah_1Ch.2.25	Q4997414
Bunni_Neh.9.4	
Bunni_Neh.10.15	
Bunni_Neh.11.15	
Buz_Gen.22.21	
Buz_1Ch.5.14	
Buzi_Ezk.1.3	
Buzite_Job.32.2	
Caiaphas_Mat.26.3	Q211246
Cain_Gen.4.1	Q205365
Cainan_Luk.3.36	Q844433
Kenan_Gen.5.9	
Calcol_1Ki.4.31	
Calcol_1Ch.2.6	
Caleb_Num.13.6	Q922184
Caleb_1Ch.2.9	Q922184
Canaan_Gen.9.18	Q204797
Canaanite_woman_Gen.46.10	Q106128900
Caphtorim_Gen.10.14	Q1728546
Carkas_Est.1.10	
Carmi_Gen.46.9	
Carmi_Jos.7.1	
Carpus_2Ti.4.13	
Carshena_Est.1.14	
Casluhim_Gen.10.14	
Chedorlaomer_Gen.14.1	Q2118973
Chelal_Ezr.10.30	
Chelub_1Ch.4.11	
Chelub_1Ch.27.26	
Cheluhi_Ezr.10.35	
Chenaanah_1Ki.22.11	
Chenaanah_1Ch.7.10	
Chenani_Neh.9.4	
Chenaniah_1Ch.15.22	
Cheran_Gen.36.26	
Cherethite_1Sa.30.14	
Cherethite_2Sa.8.18	
Chesed_Gen.22.22	
Chileab_2Sa.3.3	Q2418113
Chilion_Rut.1.2	
Chimham_2Sa.19.37	
Chislon_Num.34.21	
Chloe_1Co.1.11	Q1075381
Chuza_Luk.8.3	Q106079959
Claudia_2Ti.4.21	
Claudius_Act.11.28	
Clement_Php.4.3	
Cleopas_Luk.24.18	
Col-hozeh_Neh.3.15	
Col-hozeh_Neh.11.5	
Conaniah_2Ch.31.12	
Cornelius_Act.10.1	Q435987
Cosam_Luk.3.28	
Cozbi_Num.25.15	
Crescens_2Ti.4.10	
Crispus_Act.18.8	Q1140217
Cush_Psa.7.1	Q1138595
Cush_Gen.10.6	Q1138595
Cushan-rishathaim_Jdg.3.8	
Cushi_Zep.1.1	
Cushi_Jer.36.14	
Cyrus_2Ch.36.22	
Dalphon_Est.9.7	
Damaris_Act.17.34	Q466687
Dan_Gen.30.6	Q550869
Daniel_Ezr.8.2	Q171724
Daniel_Ezk.14.14	Q171724
Dara_1Ch.2.6	
Darda_1Ki.4.31	
Darius_Neh.12.22	Q603176
Darius_Ezr.4.5	Q603176
Darius_Dan.5.31	Q603176
Darkon_Ezr.2.56	
Dathan_Num.16.1	Q2238834
David_Rut.4.17	Q41370
Debir_Jos.10.3	Q106080007
Deborah_Gen.35.8	
Deborah_Jdg.4.4	
Dedan_Gen.10.7	
Dedan_Gen.25.3	
Dehavite_Ezr.4.9	
Deker_1Ki.4.9	
Delaiah_1Ch.3.24	
Delaiah_1Ch.24.18	
Delaiah_Ezr.2.60	
Delaiah_Neh.6.10	
Delaiah_Jer.36.12	
Delilah_Jdg.16.4	Q937827
Demas_Col.4.14	Q1185201
Demetrius_Act.19.24	
Deuel_Num.1.14	
Artemis_Act.19.24	
Diblaim_Hos.1.3	
Dibri_Lev.24.11	
Diklah_Gen.10.27	
Dinah_Gen.30.21	Q122035
Dinaite_Ezr.4.9	
Dionysius_Act.17.34	
Diotrephes_3Jn.1.9	Q659399
Dishan_Gen.36.21	
Dishon_Gen.36.21	
Dishon_Gen.36.25	
Dodanim_Gen.10.4	
Dodavahu_2Ch.20.37	
Dodo_Jdg.10.1	
Dodo_2Sa.23.9	
Dodo_2Sa.23.24	
Doeg_1Sa.21.7	Q1234538
Drusilla_Act.24.24	
Dumah_Gen.25.14	Q5313606
Ebal_Gen.36.23	
Ebed_Jdg.9.26	
Ebed_Ezr.8.6	
Ebed-melech_Jer.38.7	
Eber_Gen.10.21	
Eber_1Ch.5.13	
Eber_1Ch.8.12	Q502282
Eber_1Ch.8.22	
Eber_Neh.12.20	Q502282
Ebiasaph_Exo.6.24	
Eden_2Ch.29.12	
Eden_2Ch.31.15	
Eder_1Ch.8.15	
Eder_1Ch.23.23	
Eglah_2Sa.3.5	Q12630462
Eglon_Jdg.3.12	Q2662239
Egypt_Gen.10.6	
Ehi_Gen.46.21	
Ehud_Jdg.3.15	Q1300996
Ehud_1Ch.7.10	Q1300996
Eker_1Ch.2.27	
Ela_1Ki.4.18	
Eleadah_1Ch.7.20	
Elah_Gen.36.41	Q319020
Elah_1Ki.16.6	Q319020
